msoa,imd,ptal,density,density_source
E02000113,45.199999999999996,8.253195,6491.0,direct
E02000114,24.4,15.03014,14668.2,direct
E02000115,24.02,16.34894,10160.3,direct
E02000116,34.45,14.549775,7798.0,direct
E02000117,40.766666666666666,7.920083333333333,14306.7,direct
E02000118,23.04,5.986078,9150.8,direct
E02000119,46.599999999999994,10.3646225,4131.8,direct
E02000120,25.04,19.968780000000002,17810.7,direct
E02000121,22.3,11.63142,8770.4,direct
E02000122,17.14,11.048044,6798.9,direct
E02000123,36.24285714285715,19.544185714285714,13118.8,direct
E02000124,21.22,19.825899999999997,9078.8,direct
E02000125,18.516666666666666,13.690085000000002,12981.6,direct
E02000126,38.175,21.996875,18710.0,direct
E02000127,30.96666666666667,5.426961666666667,4192.1,direct
E02000128,11.8,4.0935614000000005,3070.2,direct
E02000130,17.3,13.117092,5669.5,direct
E02000131,22.18,17.14828,5935.1,direct
E02000132,15.12,11.927748,5660.2,direct
E02000133,6.616666666666667,4.796556666666667,1799.1,direct
E02000134,15.914285714285715,12.592588571428573,6072.2,direct
E02000135,33.75,13.671026666666668,8530.7,direct
E02000136,19.95,3.3199775000000002,1260.0,direct
E02000137,8.379999999999999,7.348668000000001,4512.7,direct
E02000138,6.359999999999999,7.293577999999999,4077.5,direct
E02000139,12.88,15.078999999999999,5020.8,direct
E02000140,35.08,6.318002,4599.2,direct
E02000141,15.540000000000001,12.845462000000001,7749.7,direct
E02000142,8.14,6.0060459999999996,4953.6,direct
E02000144,8.5,18.002046,5068.8,direct
E02000145,33.88,2.3722760000000003,782.2,direct
E02000146,9.9,7.6714,5378.9,direct
E02000147,4.84,3.7693719999999997,3639.7,direct
E02000148,7.05,5.285785,2395.3,direct
E02000149,23.119999999999997,6.9764420000000005,4346.2,direct
E02000150,11.719999999999999,4.448634,2768.0,direct
E02000151,4.0600000000000005,6.874374,3589.3,direct
E02000152,23.1,3.6676200000000003,3095.1,direct
E02000153,6.0600000000000005,5.57657,3605.7,direct
E02000154,10.92,10.688984000000001,4088.4,direct
E02000155,17.0,5.453982,3936.0,direct
E02000156,6.6625,4.395145,3198.1,direct
E02000157,5.279999999999999,8.471808,3418.3,direct
E02000158,16.82,4.079674,3605.6,direct
E02000159,7.175000000000001,4.5262425,1209.1,direct
E02000160,8.02,3.6065300000000002,958.5,direct
E02000161,5.3,4.62632,5062.2,direct
E02000162,14.275,1.5013905,558.1,direct
E02000163,7.639999999999999,2.8592174,682.4,direct
E02000165,8.940000000000001,1.9468732000000002,1266.7,direct
E02000166,20.880000000000003,7.692518,2561.3,direct
E02000167,6.4,9.647914,3458.4,direct
E02000168,16.32,21.05704,11479.6,direct
E02000169,5.9799999999999995,12.963639999999998,6393.2,direct
E02000170,12.64,16.277672,10264.5,direct
E02000171,14.3,15.23654,14174.5,direct
E02000172,29.516666666666666,18.043133333333333,14951.4,direct
E02000173,8.879999999999999,23.0873,9622.4,direct
E02000174,21.86,20.932,14812.2,direct
E02000175,14.440000000000001,24.604219999999998,13135.7,direct
E02000176,8.0,15.044875,14874.2,direct
E02000177,27.060000000000002,19.85638,16204.7,direct
E02000178,26.28,20.934440000000002,15844.5,direct
E02000179,16.025,13.0933,15019.6,direct
E02000180,24.18,16.12039,16228.6,direct
E02000181,12.540000000000001,27.89302,14936.2,direct
E02000182,14.3,25.157362499999998,8919.7,direct
E02000183,17.68,15.783786000000001,9835.4,direct
E02000184,30.939999999999998,35.9798,13399.5,direct
E02000185,29.919999999999998,21.25052,18813.8,direct
E02000186,25.7,31.37995,6201.9,direct
E02000187,34.46,54.838440000000006,10104.3,direct
E02000188,29.139999999999997,34.22756,14140.2,direct
E02000189,28.5,61.48165,17336.9,msoa11_msoa21_bridge
E02000190,23.64,73.36212,17336.9,msoa11_msoa21_bridge
E02000191,14.925,67.151025,8311.8,direct
E02000192,23.15,51.765950000000004,15417.9,direct
E02000193,17.55,73.61335,5469.8,direct
E02000194,23.44,10.167642,6615.7,direct
E02000195,15.34,5.59323,4983.5,direct
E02000196,24.175,8.167985,6455.7,direct
E02000197,20.44,9.381392,9091.4,direct
E02000198,31.119999999999997,8.369186000000001,9965.2,direct
E02000199,21.580000000000002,8.599822,9752.0,direct
E02000200,26.54,13.864498000000001,7253.7,direct
E02000201,32.059999999999995,14.669338,10119.9,direct
