msoa,imd,ptal,density,density_source,imd_norm,density_norm,ptal_norm
E02000001,14.799999999999999,75.72033333333333,2975.0,direct,0.2316402458751213,0.11338885329916719,0.8004049668413534
E02000002,34.575,3.55286,3831.0,direct,0.658147309392861,0.149704511032578,0.02585224244577888
E02000003,24.883333333333336,7.589008333333333,5389.7,direct,0.4491175096157304,0.21583209947775026,0.06917106106657754
E02000004,23.95,4.0482225,2663.6,direct,0.4289873827240376,0.10017776005362497,0.031168825612910258
E02000005,30.939999999999998,6.265692,9327.5,direct,0.5797476544807505,0.38289261001820024,0.05496828765803326
E02000007,36.5,4.92192,5854.4,direct,0.6996656961069773,0.23554691974494185,0.040545969465472315
E02000008,34.8,5.956887142857143,9331.6,direct,0.6630001078399654,0.3830665518367832,0.05165397398791466
E02000009,36.199999999999996,6.492025000000001,13380.5,direct,0.6931952981775045,0.5548404614124924,0.05739745461751516
E02000010,34.660000000000004,6.973296,8458.9,direct,0.6599805888062117,0.34604239937890036,0.06256279777011246
E02000011,25.5,6.5973325,4410.6,direct,0.46241777202631296,0.17429394470347162,0.058527689711759645
E02000012,20.6,7.159504,8852.6,direct,0.35673460584492617,0.3627450564462414,0.06456131465095266
E02000013,35.980000000000004,6.775754000000001,7203.7,direct,0.6884503396958914,0.2927907479922447,0.06044263632874081
E02000014,36.699999999999996,10.806365,8269.8,direct,0.7039792947266256,0.3380198633071854,0.10370202434429422
E02000015,38.8,6.245,6042.0,direct,0.7492720802329343,0.24350581856595574,0.05474620637635715
E02000016,34.075,22.302572500000004,11925.1,direct,0.6473633128437399,0.49309535829893386,0.22708751129647484
E02000017,27.459999999999997,23.680259999999997,10419.9,direct,0.5046910384988677,0.42923749846209974,0.2418738347910213
E02000018,36.260000000000005,6.171598,7034.9,direct,0.6944893777633993,0.2856294360466842,0.053958403832495276
E02000019,32.14,5.374274,3187.3,direct,0.6056292461986412,0.12239564551505869,0.045400954778217116
E02000020,32.9,10.027184000000002,4116.3,direct,0.6220209209533053,0.1618083161159216,0.0953392988881917
E02000021,32.1,4.673579999999999,3043.2,direct,0.6047665264747116,0.11628222696437585,0.037880607707718325
E02000022,38.6,8.480369999999999,10270.7,direct,0.7449584816132859,0.4229077132590333,0.07873778933693747
E02000023,39.55,4.0192475,4594.6,direct,0.7654480750566159,0.18210011412280291,0.030857845275747815
E02000024,8.816666666666666,7.670979166666666,2888.2,direct,0.10259175383730544,0.10970637772526523,0.0700508304328411
E02000025,16.279999999999998,5.87367,3573.0,direct,0.2635608756605198,0.1387589039119939,0.05076082834016971
E02000026,10.875,5.5607875,4404.8,direct,0.14698587296452065,0.17404788066742746,0.04740275050264672
E02000027,22.366666666666664,5.401221666666667,5761.1,direct,0.3948380603184874,0.23158868275133532,0.045690176330097754
E02000028,12.625,10.4726975,6189.5,direct,0.18472986088644452,0.249763481551561,0.10012086708285678
E02000029,15.66,7.615104,5745.1,direct,0.2501887199396096,0.2309098854105239,0.06945113834762945
E02000030,13.116666666666665,2.381291,648.7,direct,0.1953341241597469,0.014695962428567187,0.01327812949913285
E02000031,9.0,9.63424,4296.5,direct,0.10654588590531651,0.1694532711668102,0.0911219440096426
E02000032,8.34,6.368684,5679.6,direct,0.09231101046047666,0.22813105879657716,0.05607367115708536
E02000033,18.04,6.660702000000001,5007.0,direct,0.30152054351342605,0.19959611558221718,0.0592078163200708
E02000034,12.459999999999999,5.419524,5831.7,direct,0.18117114202523454,0.23458387601766567,0.04588661000709031
E02000035,13.24,7.593262,6573.2,direct,0.1979941766418635,0.2660418902808948,0.069216714446877
E02000036,16.25,4.397641666666667,6265.1,direct,0.26291383586757255,0.25297079898689495,0.03491904097998604
E02000037,11.266666666666666,4.922799666666667,2505.6,direct,0.15543333692799882,0.09347463631311222,0.04055541067467303
E02000038,15.816666666666668,7.485601666666667,6082.0,direct,0.25356770552500096,0.2452028119179843,0.06806122706951648
E02000039,10.55,6.6840475,3362.3,direct,0.13997627520759195,0.12981999143018355,0.05945837685367652
E02000040,15.725,3.4419525,1772.8,direct,0.25159063949099536,0.06238571810394932,0.024661904162988756
E02000041,18.54,13.960982000000001,7008.4,direct,0.3123045400625472,0.2845051779509653,0.1375596208336258
E02000042,14.883333333333333,11.865765000000001,9531.6,direct,0.23343757863330816,0.3915515185969259,0.11507225969165903
E02000043,7.4,7.172948,5157.7,direct,0.07203709694812899,0.20598953803598472,0.06470560523431114
E02000044,23.84,11.095874,7986.3,direct,0.42661490348323095,0.32599242292468317,0.10680924113226878
E02000045,20.133333333333336,6.199224999999999,6065.4,direct,0.3466695423990799,0.2444985596768924,0.0542549164735578
E02000046,12.425,13.249425,7170.7,direct,0.1804162622667961,0.2913907284768211,0.1299226843100607
E02000047,26.316666666666666,13.664066666666665,8715.6,direct,0.48003163305654417,0.3569328542155436,0.13437291400122886
E02000048,12.48,4.697875999999999,3334.0,direct,0.18160250188719942,0.12861936863362336,0.038141369684308445
E02000049,35.839999999999996,5.496702000000001,13360.4,direct,0.6854308206621373,0.553987722253098,0.04671493927237153
E02000050,18.216666666666665,4.40088,4893.4,direct,0.3053308889607822,0.1947766544624561,0.03495379707979085
E02000051,10.26,8.164488,6322.0,direct,0.1337215572091017,0.2553847720301555,0.07534751872904974
E02000052,12.233333333333334,8.045824999999999,10163.0,direct,0.17628239692296635,0.41833855865869646,0.07407394289648002
E02000053,20.28,8.664202,12499.85,msoa11_msoa21_bridge,0.34983284805348863,0.517479031525894,0.08071080529349474
E02000054,16.45,5.955947500000001,5086.0,direct,0.26722743448722097,0.20294767745247355,0.05164388907152031
E02000055,15.533333333333333,10.532941666666668,8140.7,direct,0.24745677414716563,0.3325428172635133,0.10076745038784628
E02000056,8.116666666666665,4.5342416666666665,2829.1,direct,0.08749415866853587,0.10719907004764306,0.03638512947200985
E02000057,13.85,9.7804325,7322.5,direct,0.21115065243179124,0.29783081824776947,0.0926909860438314
E02000058,10.083333333333334,6.764925000000001,5639.7,direct,0.12991121176174558,0.22643830792792866,0.0603264117878907
E02000059,22.349999999999998,7.294425,5298.8,direct,0.39447859376685,0.2119756820852654,0.06600938291912503
E02000060,15.25,12.755398333333334,9376.2,direct,0.24134584276933033,0.38495869942429506,0.12462043825769697
E02000061,13.76,19.47782,5257.7,direct,0.20920953305294943,0.21023202141605607,0.19677025556393088
E02000062,33.425,13.19185,3785.4,direct,0.6333441173298824,0.14776993861126547,0.12930474840282594
E02000063,22.85,9.8078425,7309.9,direct,0.4052625903159711,0.2972962653418805,0.0929851696863378
E02000064,22.325,12.526299999999999,8402.4,direct,0.393939393939394,0.3436453962691601,0.12216159177129993
E02000065,20.7,4.78671,2519.8,direct,0.3588914051547504,0.09407706895308236,0.03909479944346251
E02000066,28.73333333333333,8.670358333333333,5995.7,direct,0.5321542830439628,0.2415415487609827,0.08077687944761672
E02000067,25.5,6.08266,4431.3,direct,0.46241777202631296,0.17517213876314638,0.05300385787126823
E02000068,28.075,6.75424,3607.0,direct,0.5179553542542867,0.14020134826121816,0.06021173275760318
E02000069,19.375,4.8816675,4969.3,direct,0.33031381429957946,0.1979966993479303,0.04011395096601998
E02000070,13.280000000000001,4.601214000000001,4370.2,direct,0.1988568963657932,0.17257998141792277,0.03710392425373741
E02000071,17.64,3.5544260000000003,6509.4,direct,0.2928933462741292,0.26333518588440924,0.02586904987314718
E02000072,31.785714285714285,4.375145714285714,2952.4,direct,0.5979880143581211,0.11243005205527105,0.034677598396509975
E02000073,8.342857142857143,5.5723142857142856,6704.2,direct,0.09237263329790021,0.2715995435087883,0.047526464176773656
E02000074,29.839999999999996,4.132832,7851.3,direct,0.556022862072684,0.3202650703615868,0.0320769150292052
E02000075,9.18,6.421791999999999,5201.3,direct,0.1104281246630001,0.20783926078969583,0.05664366403874275
E02000077,12.4,5.953799999999999,7283.6,direct,0.17987706243934004,0.29618049221292175,0.05162084057198427
E02000078,10.42,6.337986,5331.7,direct,0.13717243610482044,0.21337145911730887,0.05574419835673289
E02000079,12.98,14.631380000000002,5321.9,direct,0.19238649843632052,0.21295569574606188,0.1447548096540927
E02000080,11.5,8.530863333333334,5949.3,direct,0.16046586865092205,0.2395730364726296,0.07927971975365727
E02000081,16.240000000000002,8.975996,3765.9,direct,0.2626981559365902,0.14694265435215156,0.08405720057374419
E02000082,8.833333333333334,4.279535,6234.0,direct,0.10295122038894282,0.25165138665569275,0.033651436112992685
E02000083,21.5,3.995136666666667,3013.2,direct,0.3761457996333441,0.11500948195035443,0.030599070639707526
E02000084,9.1,5.387188571428571,4285.5,direct,0.10870268521514072,0.16898659799500232,0.04553956315706666
E02000085,11.5,3.7287939999999997,4903.3,direct,0.16046586865092205,0.1951966603170832,0.027740491441062318
E02000086,7.5,3.6353299999999997,4822.0,direct,0.0741938962579532,0.19174752132908518,0.026737369224235717
E02000087,7.7,5.411542,2209.0,direct,0.07850749487760164,0.08089143060782059,0.0458009414979883
