LSOA code (2011),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01001146,19.7,14580
E01001147,34.0,6270
E01001148,23.2,11948
E01001149,16.1,17888
E01001150,20.5,13899
E01001151,40.8,4019
E01001152,37.2,5158
E01001153,22.7,12275
E01001154,28.9,8530
E01001155,43.8,3291
E01001156,26.2,10027
E01001157,18.2,15973
E01001158,20.4,13982
E01001159,14.5,19487
E01001160,13.7,20215
E01001161,42.6,3575
E01001162,28.4,8850
E01001163,16.3,17644
E01001164,20.5,13940
E01001165,24.2,11281
E01001166,32.1,7025
E01001167,21.8,12891
E01001168,21.2,13421
E01001169,32.7,6795
E01001170,27.1,9544
E01001171,24.6,11031
E01001172,43.1,3467
E01001173,19.8,14566
E01001174,22.5,12417
E01001175,30.6,7742
E01001176,22.7,12219
E01001177,31.6,7251
E01001178,58.2,1096
E01001179,20.7,13775
E01001180,27.8,9127
E01001181,42.4,3607
E01001182,21.7,13038
E01001183,24.1,11301
E01001184,16.9,17067
E01001185,20.0,14358
E01001186,29.1,8461
E01001187,20.6,13847
E01001188,28.2,8950
E01001189,17.7,16383
E01001190,27.4,9331
E01001191,34.9,5914
E01001192,27.8,9166
E01001193,34.4,6123
E01001194,18.3,15918
E01032569,45.2,3024
E01001195,14.0,19967
E01001196,38.0,4857
E01001197,22.6,12321
E01001198,14.8,19095
E01001199,22.3,12563
E01001200,16.0,17969
E01001201,17.6,16425
E01001202,33.8,6344
E01001203,32.8,6778
E01001204,13.7,20285
E01001205,31.0,7545
E01001206,42.3,3637
E01001207,16.2,17745
E01001208,11.8,22354
E01001209,7.1,28190
E01001210,50.7,2075
E01001211,10.4,24028
E01001212,13.5,20550
E01001213,28.2,8943
E01001214,15.9,18010
E01001215,30.2,7934
E01001216,22.2,12636
E01001217,16.1,17865
E01001218,36.3,5429
E01001219,36.0,5527
E01001220,47.7,2523
E01001221,24.1,11345
E01001222,21.9,12874
E01001223,11.7,22559
E01001224,9.1,25604
E01001225,21.7,12984
E01001226,13.4,20668
E01001227,10.3,24152
E01001228,11.4,22860
E01001229,30.2,7923
E01001230,21.3,13358
E01001231,13.8,20102
E01001232,23.8,11537
E01001233,23.8,11472
E01001234,22.9,12109
E01001235,14.2,19722
E01001236,16.3,17674
E01001237,17.0,16963
E01001238,24.5,11044
E01001239,32.7,6813
E01001240,20.5,13977
E01001241,22.2,12616
E01001242,26.9,9639
E01001243,25.4,10522
E01001244,28.9,8569
E01001245,15.4,18507
E01001246,32.0,7075
E01001247,21.3,13338
E01001248,17.4,16655
E01001249,41.5,3848
E01001250,37.1,5176
E01001251,18.7,15489
E01001252,25.7,10397
E01001253,15.6,18300
E01001254,14.6,19351
E01001255,13.5,20547
E01001257,40.8,4021
E01001258,15.9,18071
E01001259,20.1,14241
E01001260,20.7,13738
E01001261,22.7,12265
E01001262,31.3,7386
E01001263,34.5,6069
E01001264,24.4,11124
E01001265,20.6,13878
E01001266,16.1,17834
E01001267,31.8,7140
E01001268,18.5,15642
E01001269,13.6,20420
E01001270,15.7,18289
E01001271,16.9,17106
E01001272,19.1,15184
E01001273,9.5,25179
E01001274,8.5,26422
E01001275,19.0,15212
E01001276,20.6,13885
E01001277,17.5,16527
E01001278,23.8,11526
E01001279,7.2,28128
E01001280,13.7,20279
E01001281,7.5,27738
E01001282,35.0,5881
E01001283,40.1,4237
E01001284,15.8,18191
E01001285,23.2,11937
E01001286,23.5,11665
E01001287,31.2,7443
E01001288,16.0,17925
E01001289,15.5,18420
E01001290,12.7,21401
E01001291,19.4,14947
E01001292,13.9,20084
E01001293,17.4,16678
E01001294,22.5,12398
E01001295,17.2,16799
E01001296,22.0,12764
E01001297,23.4,11800
E01001298,28.0,9045
E01001299,8.0,27061
E01001300,8.9,25967
E01001301,20.0,14321
E01001302,11.7,22524
E01001303,9.9,24632
E01001304,14.1,19885
E01001305,7.7,27464
E01001306,8.3,26685
E01001307,11.1,23210
E01001308,11.4,22868
E01001309,15.1,18839
E01001310,18.6,15589
E01001311,28.9,8519
E01001312,16.7,17313
E01001313,13.7,20272
E01001314,11.0,23394
E01001315,18.3,15913
E01001316,31.8,7159
E01001317,26.5,9896
E01001318,36.0,5532
E01001319,18.0,16095
E01001320,41.6,3831
E01001321,26.1,10147
E01001322,23.9,11458
E01001323,23.1,12015
E01001324,33.5,6468
E01001325,26.6,9812
E01001326,33.1,6645
E01001327,30.8,7636
E01001328,33.6,6406
E01001329,24.1,11307
E01001330,42.9,3501
E01001331,37.3,5126
E01001332,39.9,4277
E01001333,39.7,4369
E01001334,41.2,3919
E01001335,20.9,13665
E01001336,24.9,10825
E01001337,35.7,5627
E01001338,27.2,9484
E01001339,35.6,5657
E01001340,38.0,4859
E01001341,12.8,21235
E01001342,14.8,19108
E01001343,15.4,18564
E01001344,18.4,15761
E01001345,17.5,16547
E01001346,12.0,22171
E01001347,18.7,15517
E01001348,19.4,14879
E01001349,33.6,6422
E01001350,16.2,17789
E01001351,28.0,9030
E01001352,15.2,18684
E01001353,23.4,11787
E01001354,22.2,12592
E01001355,24.5,11088
E01001356,45.9,2863
E01001357,42.0,3722
E01001358,45.8,2888
E01001359,24.9,10824
E01001360,29.1,8447
E01001361,34.2,6178
E01001362,29.2,8413
E01001363,26.2,10083
E01001364,42.2,3672
E01001365,28.0,9026
E01001366,28.5,8743
E01001367,30.3,7890
E01001368,28.9,8520
E01001369,24.9,10823
E01001370,25.9,10253
E01001371,27.1,9509
E01001372,31.0,7551
E01001373,26.3,9995
E01001374,11.2,23089
E01001375,5.5,29992
E01001376,23.9,11416
E01001377,8.2,26779
E01001379,6.5,28867
E01001380,12.5,21610
E01001381,18.0,16099
E01001382,8.4,26572
E01001383,11.6,22673
E01001384,9.8,24713
E01001385,8.6,26344
E01001386,9.9,24623
E01001387,16.5,17508
E01001388,34.8,5956
E01001389,21.1,13509
E01032572,16.3,17645
E01032743,27.4,9353
E01032744,33.8,6338
E01001390,10.5,23838
E01001391,25.6,10400
E01001392,10.7,23651
E01001393,19.1,15156
E01001394,27.0,9612
E01001395,35.3,5795
E01001396,19.0,15197
E01001397,24.6,10992
E01001398,9.2,25510
E01001399,11.2,23079
E01001400,10.4,24050
E01001401,12.4,21705
E01001402,9.0,25812
E01001403,15.9,18070
E01001404,19.2,15105
E01001405,12.1,22069
E01001406,24.5,11086
E01001407,18.5,15675
E01001408,16.7,17296
E01001409,34.9,5926
E01001410,45.5,2967
E01001411,13.4,20608
E01001412,28.4,8853
E01001413,7.8,27340
E01001414,42.8,3518
E01001415,15.5,18476
E01001416,7.7,27463
E01001417,8.3,26756
E01001418,21.1,13494
E01001419,15.2,18716
E01001420,26.4,9953
E01001421,26.7,9728
E01001422,7.9,27233
E01001423,31.8,7161
E01001424,45.7,2918
E01001425,48.2,2455
E01001426,41.0,3965
E01001427,42.6,3582
E01001428,38.1,4845
E01001429,46.4,2781
E01001430,42.1,3702
E01001431,43.3,3388
E01001432,39.6,4375
E01001433,36.1,5499
E01001434,28.2,8928
E01001435,26.2,10023
E01001436,28.6,8730
E01001437,38.8,4642
E01001438,34.9,5904
E01001439,35.3,5806
E01001440,30.6,7766
E01001441,37.1,5182
E01001442,44.5,3165
E01001444,22.8,12215
E01001445,29.8,8094
E01001446,27.9,9085
E01001447,42.8,3524
E01001448,30.2,7950
E01001449,29.4,8289
E01001450,21.4,13223
E01001451,16.8,17172
E01001452,11.4,22909
E01001453,6.2,29230
E01001454,9.1,25609
E01001455,11.2,23129
E01001456,5.7,29825
E01001457,13.9,20056
E01001458,40.3,4196
E01001459,23.8,11498
E01001460,38.3,4797
E01001461,40.0,4246
E01001462,35.1,5863
E01001463,22.7,12284
E01001464,38.3,4782
E01001465,24.4,11104
E01001466,28.3,8860
E01001467,26.5,9903
E01001468,29.8,8107
E01001469,23.3,11863
E01001470,10.6,23825
E01001471,17.4,16683
E01001472,13.8,20183
E01001473,16.0,17974
E01001474,13.1,20983
E01001475,7.3,27973
E01001476,28.0,9017
E01001477,35.0,5893
E01001478,25.9,10250
E01001479,33.3,6554
E01001480,30.6,7739
E01001481,26.5,9869
E01001482,38.5,4720
E01001483,53.7,1643
E01001484,24.5,11064
E01001485,37.1,5172
E01001486,41.5,3856
E01001487,35.0,5869
E01001488,30.5,7798
E01001489,30.9,7594
E01001491,32.8,6746
E01001492,32.0,7065
E01001493,29.2,8384
E01001494,15.5,18473
E01001495,12.5,21557
E01001496,14.3,19665
E01001497,23.5,11718
E01001498,17.4,16629
E01001499,24.0,11372
E01001500,19.8,14503
E01001501,26.3,9993
E01001502,31.2,7448
E01001503,28.2,8948
E01001504,30.3,7894
E01001505,33.6,6432
E01001506,38.7,4674
E01001507,40.5,4121
E01001508,31.9,7139
E01001509,34.3,6129
E01001510,47.2,2622
E01001511,21.9,12867
E01001512,18.4,15781
E01001513,33.4,6497
E01001514,21.7,12968
E01001515,37.1,5175
E01001516,28.9,8539
E01001517,48.7,2365
E01001518,22.4,12462
E01001519,13.2,20796
E01001520,17.4,16603
E01001521,8.9,25863
E01001522,14.1,19881
E01001523,8.8,26051
E01001524,21.1,13445
E01001525,16.8,17196
E01001526,10.2,24301
E01001527,15.8,18129
E01001528,34.9,5918
E01001529,32.2,6993
E01001530,20.5,13931
E01001531,8.4,26522
E01001532,8.5,26409
E01001533,7.1,28218
E01001534,11.2,23107
E01001535,14.4,19585
E01001536,18.8,15451
E01001537,11.6,22687
E01001538,11.1,23188
E01001539,15.2,18732
E01001540,14.3,19677
E01001541,9.7,24871
E01001542,18.6,15570
E01001543,9.6,24981
E01001544,9.6,25045
E01001545,45.5,2973
E01001546,27.9,9083
E01001547,29.2,8436
E01001548,32.1,7056
E01001549,42.9,3503
E01001550,36.0,5526
E01001551,42.1,3680
E01001552,26.4,9954
E01001553,38.3,4794
E01001554,42.0,3713
E01001555,34.7,6000
E01001556,19.3,15029
E01001557,30.2,7947
E01001558,39.7,4348
E01001559,41.1,3951
E01001560,34.5,6067
E01001562,46.6,2725
E01001563,16.6,17402
E01001564,10.3,24184
E01001565,16.3,17684
E01001566,13.9,20017
E01001567,6.3,29111
E01001568,9.8,24723
E01001569,10.4,24037
E01001570,17.9,16189
E01032574,31.5,7300
E01033146,37.6,5022
E01033148,36.0,5551
E01033150,26.8,9725
E01033151,39.7,4365
E01001571,17.9,16175
E01001572,15.5,18456
E01001573,15.7,18225
E01001574,39.3,4479
E01001575,47.5,2565
E01001576,39.5,4419
E01001577,33.6,6440
E01001578,26.8,9697
E01001579,37.7,4983
E01001580,10.8,23584
E01001581,20.4,13999
E01001582,23.3,11864
E01001583,13.5,20534
E01001584,8.8,26016
E01001585,12.9,21113
E01001586,24.1,11294
E01001587,12.1,22066
E01001588,36.0,5533
E01001589,27.7,9174
E01001590,18.3,15901
E01001591,31.7,7189
E01001592,14.7,19244
E01001593,11.4,22827
E01001594,36.3,5415
E01001595,23.2,11892
E01001596,9.4,25312
E01001597,15.2,18757
E01001598,14.2,19780
E01001599,17.4,16636
E01001600,13.5,20482
E01001601,11.0,23383
E01001602,32.4,6918
E01001603,36.7,5305
E01001604,13.5,20549
E01001605,7.2,28074
E01001606,6.4,28995
E01001607,17.9,16263
E01001608,14.3,19688
E01001609,22.0,12789
E01001610,12.9,21169
E01001611,18.9,15294
E01001613,20.0,14317
E01001614,8.6,26343
E01001615,20.2,14143
E01001617,8.8,26084
E01001618,23.6,11623
E01001619,14.7,19186
E01001620,31.7,7205
E01001621,31.9,7132
E01001623,24.7,10924
E01001624,25.3,10556
E01001625,40.6,4073
E01001629,30.4,7852
E01001631,34.1,6211
E01001632,18.6,15631
E01001633,34.2,6202
E01001634,41.7,3802
E01001635,23.2,11906
E01001636,25.7,10378
E01001637,27.1,9554
E01001638,28.1,8986
E01001640,30.6,7763
E01001641,16.3,17618
E01001642,11.5,22742
E01001644,17.3,16768
E01001645,27.9,9118
E01001646,25.0,10745
E01001647,21.6,13052
E01001648,19.2,15054
E01001649,35.2,5827
E01001650,32.0,7097
E01001651,43.6,3333
E01001652,17.5,16562
E01001653,40.9,3995
E01001654,39.9,4285
E01001655,42.5,3586
E01001656,18.3,15898
E01001657,11.3,23034
E01001658,18.2,15955
E01001659,20.7,13757
E01001660,33.6,6434
E01001661,35.1,5857
E01001662,22.1,12724
E01001664,21.3,13303
E01001665,17.2,16860
E01001666,25.3,10546
E01001667,42.6,3574
E01001668,26.9,9655
E01001669,27.8,9131
E01001671,22.9,12091
E01001672,27.1,9511
E01001673,35.9,5579
E01001674,22.1,12679
E01001675,28.7,8659
E01001676,28.3,8863
E01001677,19.7,14595
E01001678,14.1,19867
E01001679,13.5,20502
E01001680,8.9,25987
E01001681,18.3,15871
E01001682,18.2,15940
E01001683,22.8,12171
E01001684,24.7,10933
E01001685,17.3,16704
E01001686,20.5,13909
E01001687,35.7,5655
E01001688,26.6,9824
E01001690,29.7,8164
E01001692,30.0,8020
E01001693,33.7,6383
E01001694,23.2,11923
E01001695,36.8,5276
E01001696,36.8,5270
E01001697,33.9,6293
E01001698,29.5,8235
E01001699,24.7,10944
E01001700,31.1,7478
E01001701,29.4,8286
E01001702,37.9,4923
E01001703,31.8,7158
E01001704,23.5,11676
E01001705,32.6,6839
E01001706,39.5,4427
E01001708,20.6,13833
E01001709,37.3,5099
E01001710,33.5,6464
E01001711,27.8,9120
E01001712,31.3,7387
E01001713,37.1,5191
E01032567,18.8,15449
E01033726,33.6,6446
E01033727,19.5,14786
E01033728,9.3,25444
E01033729,25.1,10717
E01033730,17.4,16644
E01033731,11.7,22527
E01033732,25.8,10335
E01033733,14.6,19291
E01033734,15.6,18297
E01033735,27.8,9152
E01033736,10.5,23883
E01033737,33.8,6353
E01033738,22.3,12531
E01033739,19.1,15162
E01033740,20.3,14071
E01033741,19.6,14715
E01033742,13.1,20945
E01033743,21.0,13578
E01033744,29.4,8319
E01033745,22.1,12697
E01033746,21.8,12902
E01001714,44.2,3216
E01001715,28.3,8857
E01001716,37.1,5179
E01001717,27.5,9310
E01001718,20.1,14212
E01001719,35.7,5629
E01001720,19.8,14558
E01001722,31.7,7202
E01001723,22.8,12151
E01001724,25.3,10562
E01001725,26.6,9853
E01001726,32.8,6738
E01001727,22.6,12316
E01001728,30.6,7754
E01001729,42.0,3718
E01001730,45.8,2897
E01001731,31.2,7474
E01001732,39.1,4530
E01001733,32.4,6917
E01001734,36.3,5446
E01001735,35.2,5831
E01001736,21.5,13149
E01001737,24.6,11026
E01001738,22.9,12095
E01001739,25.8,10312
E01001740,43.9,3274
E01001741,17.8,16337
E01001742,29.0,8495
E01001744,32.0,7078
E01001745,36.8,5257
E01001746,35.3,5801
E01001747,31.1,7514
E01001748,32.8,6737
E01001749,31.1,7497
E01001750,36.0,5518
E01001751,18.7,15464
E01001752,26.8,9681
E01001753,35.9,5565
E01001754,31.5,7318
E01001755,40.1,4241
E01001756,23.4,11738
E01001757,31.9,7129
E01001758,38.9,4616
E01001759,28.9,8528
E01001760,39.2,4504
E01001761,47.2,2627
E01001762,27.1,9543
E01001763,22.1,12683
E01001764,28.7,8634
E01001765,43.4,3374
E01001767,34.0,6287
E01001768,24.3,11196
E01001769,26.8,9723
E01001770,34.3,6158
E01001772,41.8,3791
E01001773,38.2,4810
E01001774,28.2,8923
E01001775,39.3,4495
E01001776,45.9,2862
E01001777,34.3,6154
E01001779,30.6,7718
E01001780,37.7,4965
E01001781,44.7,3123
E01001782,21.1,13505
E01001783,38.6,4695
E01001784,26.6,9803
E01001785,30.7,7676
E01001786,37.9,4889
E01001787,43.4,3371
E01001788,42.5,3601
E01001789,27.7,9211
E01001790,52.0,1876
E01001791,32.2,6994
E01001792,32.7,6784
E01001793,24.9,10841
E01001794,26.5,9886
E01001795,31.5,7320
E01001796,28.4,8807
E01001798,46.4,2769
E01001799,26.5,9863
E01001800,39.2,4523
E01001801,31.4,7336
E01001802,33.5,6460
E01001803,15.7,18241
E01001804,26.5,9895
E01001805,27.2,9451
E01001806,30.0,8025
E01001807,29.1,8454
E01001808,30.9,7625
E01001809,26.7,9795
E01001811,48.6,2394
E01001812,29.8,8096
E01001813,48.5,2413
E01001814,32.7,6783
E01001815,36.8,5285
E01001816,25.2,10641
E01001819,27.9,9108
E01001820,41.0,3969
E01001821,43.2,3434
E01001822,45.7,2917
E01001823,28.3,8874
E01001824,33.9,6317
E01001825,26.9,9633
E01001826,34.3,6162
E01001827,36.9,5244
E01001828,34.2,6187
E01001829,16.5,17491
E01001830,32.4,6903
E01001831,29.2,8414
E01001832,28.1,8976
E01001833,31.8,7150
E01001834,30.8,7666
E01001835,21.3,13308
E01001836,26.2,10064
E01001837,17.1,16914
E01001838,46.4,2780
E01001839,38.8,4640
E01001840,40.0,4256
E01001841,31.7,7204
E01001842,39.5,4411
E01001843,32.0,7074
E01001844,26.9,9624
E01001845,51.0,2027
E01001846,46.7,2705
E01001847,56.3,1315
E01001848,39.9,4298
E01001849,34.1,6227
E01001850,43.0,3486
E01033698,34.4,6091
E01033699,33.6,6411
E01033700,30.2,7953
E01033701,47.5,2578
E01033702,35.8,5611
E01033703,34.2,6196
E01033704,26.6,9828
E01033705,31.7,7191
E01033706,32.5,6887
E01033707,32.5,6864
E01033708,20.1,14243
E01033709,33.7,6366
E01033710,24.7,10980
E01033711,22.2,12611
E01033712,33.4,6490
E01033713,35.0,5892
E01001851,13.3,20771
E01001852,16.8,17221
E01001853,20.8,13706
E01001854,19.3,15003
E01001855,18.4,15740
E01001856,31.5,7267
E01001857,40.0,4267
E01001858,30.7,7701
E01001859,20.2,14141
E01001860,31.9,7131
E01001861,30.2,7937
E01001862,32.7,6802
E01001863,19.0,15265
E01001864,28.8,8604
E01001865,13.6,20324
E01001866,14.1,19847
E01001867,13.7,20289
E01001868,35.9,5585
E01001869,14.3,19649
E01001870,16.9,17083
E01001871,12.3,21856
E01001872,15.6,18352
E01001873,22.7,12256
E01001874,23.9,11438
E01001875,33.5,6449
E01001876,37.3,5098
E01001877,33.3,6532
E01001878,34.8,5979
E01001879,22.6,12354
E01001880,21.1,13446
E01001881,14.9,18973
E01001882,13.5,20454
E01001883,23.4,11772
E01001884,26.0,10214
E01001885,50.6,2091
E01001886,25.9,10269
E01001887,23.2,11893
E01001888,10.8,23550
E01001889,19.9,14425
E01001890,13.7,20292
E01001891,11.4,22811
E01001892,28.4,8819
E01001893,33.8,6342
E01001894,30.4,7814
E01001895,19.5,14790
E01001896,22.0,12744
E01001897,15.5,18490
E01001898,22.2,12598
E01001899,43.2,3413
E01001900,36.3,5414
E01001901,10.8,23507
E01001902,15.7,18248
E01001903,25.6,10447
E01001904,9.5,25162
E01001905,7.1,28139
E01001906,9.6,24988
E01001907,11.6,22696
E01001908,17.0,16979
E01001909,22.5,12383
E01001910,18.4,15768
E01001911,34.6,6011
E01001912,35.5,5706
E01001913,10.8,23554
E01001914,20.0,14365
E01001915,12.9,21120
E01001916,6.8,28505
E01001917,15.6,18372
E01001918,10.5,23841
E01001919,8.6,26263
E01001920,31.1,7494
E01001921,19.1,15164
E01001922,12.1,22079
E01001923,17.6,16437
E01001924,9.2,25569
E01001925,9.0,25768
E01001926,6.6,28809
E01001927,9.5,25171
E01001928,20.6,13864
E01001929,12.3,21853
E01001930,31.0,7537
E01001931,18.5,15702
E01001932,25.9,10242
E01001933,20.9,13652
E01001934,23.8,11507
E01001935,17.0,17011
E01001937,13.3,20728
E01001938,27.5,9309
E01001939,21.1,13510
E01001940,34.8,5966
E01001941,30.2,7925
E01001942,24.2,11283
E01001943,33.0,6650
E01001944,43.0,3478
E01001945,25.1,10706
E01001946,22.0,12811
E01001947,37.6,5002
E01001948,14.6,19353
E01001949,8.0,27040
E01001950,9.7,24876
E01001951,17.4,16651
E01001952,15.7,18223
E01001953,22.1,12704
E01001954,27.4,9370
E01001955,38.0,4877
E01001956,27.3,9420
E01001957,38.8,4637
E01001958,38.7,4675
E01001959,40.1,4238
E01001960,18.4,15773
E01001961,41.8,3771
E01032788,26.8,9722
E01032789,17.1,16892
E01032790,18.0,16130
E01001962,15.5,18441
E01001963,8.6,26300
E01001964,14.8,19124
E01001965,11.3,23030
E01001966,13.3,20730
E01001967,8.9,25963
E01001968,11.2,23140
E01001969,27.0,9566
E01001970,27.0,9598
E01001971,37.9,4922
E01001972,26.4,9943
E01001973,18.3,15884
E01001974,19.5,14821
E01001975,21.3,13355
E01001976,37.9,4917
E01001977,41.1,3940
E01001978,40.4,4152
E01001979,41.5,3861
E01001980,28.5,8788
E01001981,29.7,8167
E01001982,32.0,7077
E01001983,27.6,9236
E01001984,19.6,14754
E01001985,10.0,24521
E01001986,12.4,21667
E01001987,9.5,25129
E01001988,16.1,17894
E01001989,14.8,19138
E01001990,15.6,18313
E01001991,15.0,18931
E01001992,7.6,27577
E01001993,6.7,28651
E01001994,10.1,24362
E01001995,26.2,10079
E01001996,9.7,24875
E01001997,14.7,19221
E01001998,17.5,16516
E01001999,26.6,9806
E01002000,18.7,15505
E01002001,20.7,13735
E01002002,38.7,4676
E01002003,36.8,5261
E01002004,18.4,15817
E01002005,16.1,17870
E01002006,15.6,18324
E01002007,11.8,22397
E01002008,9.1,25611
E01002009,12.3,21826
E01002010,20.1,14235
E01002011,21.5,13214
E01002013,12.1,22009
E01002014,21.6,13122
E01002015,26.3,9999
E01002016,21.6,13101
E01002017,23.5,11671
E01002018,26.7,9786
E01002019,7.7,27449
E01002020,17.2,16855
E01002021,10.4,24077
E01002022,14.4,19545
E01002023,15.5,18466
E01002024,17.8,16274
E01002025,7.9,27147
E01002026,46.3,2796
E01002027,29.9,8044
E01002028,27.1,9520
E01002029,36.3,5426
E01002030,21.7,12975
E01002031,33.2,6590
E01002032,37.5,5050
E01002033,38.5,4748
E01002034,51.4,1966
E01002036,55.0,1464
E01002037,44.9,3076
E01002038,46.6,2736
E01002039,55.4,1411
E01002040,46.4,2791
E01002041,38.0,4881
E01002042,18.7,15502
E01002043,27.4,9360
E01002044,23.9,11412
E01002045,28.3,8899
E01002046,31.7,7221
E01002047,23.3,11874
E01002048,25.2,10638
E01002049,31.4,7343
E01002050,23.4,11791
E01002051,36.5,5369
E01002052,28.1,8956
E01002053,36.0,5534
E01002054,36.8,5281
E01002055,23.3,11825
E01002056,29.0,8479
E01002057,22.8,12189
E01002058,24.8,10897
E01002059,21.2,13380
E01002060,11.9,22247
E01002061,14.1,19827
E01002062,15.8,18183
E01002063,21.9,12876
E01002064,30.9,7606
E01002065,27.6,9234
E01002066,47.9,2497
E01002067,40.0,4260
E01002068,31.7,7220
E01002069,40.0,4272
E01002070,26.2,10051
E01002071,53.3,1685
E01002072,36.0,5544
E01002073,39.4,4466
E01002074,40.3,4179
E01002075,34.0,6284
E01002076,33.3,6556
E01002077,37.9,4915
E01002078,34.3,6136
E01002079,26.3,9991
E01002080,30.6,7760
E01002081,45.5,2971
E01002082,64.7,546
E01002083,17.7,16376
E01002084,27.2,9491
E01002085,28.2,8908
E01002086,33.0,6661
E01002087,35.3,5776
E01002088,24.2,11266
E01002089,47.0,2662
E01002090,39.5,4418
E01002091,41.4,3886
E01002092,35.9,5577
E01002093,46.9,2674
E01002094,41.2,3922
E01002095,46.9,2671
E01002096,43.3,3397
E01002097,42.2,3670
E01002098,22.0,12784
E01002099,40.5,4119
E01002100,33.8,6336
E01002101,21.6,13136
E01002102,28.1,8989
E01002103,25.6,10425
E01002104,25.5,10478
E01002105,28.0,9038
E01032575,37.6,4997
E01033085,28.4,8816
E01033086,41.9,3764
E01002106,10.4,23970
E01002107,6.4,28989
E01002108,8.5,26452
E01002109,9.0,25766
E01002110,7.6,27531
E01002111,14.9,19020
E01002112,6.3,29072
E01002113,15.9,18020
E01002114,21.8,12948
E01002115,12.9,21124
E01002116,8.6,26311
E01002117,16.3,17612
E01002118,18.7,15531
E01002119,19.3,14963
E01002120,31.6,7228
E01002121,11.8,22384
E01002122,15.6,18298
E01002123,17.1,16942
E01002124,14.4,19547
E01002125,15.5,18470
E01002126,14.7,19272
E01002127,13.3,20756
E01002128,17.8,16310
E01002129,17.9,16216
E01002130,24.6,11018
E01002131,28.7,8650
E01002132,9.3,25446
E01002133,33.1,6641
E01002134,9.2,25562
E01002135,15.2,18752
E01002136,12.8,21233
E01002137,4.7,30813
E01002138,17.5,16583
E01002139,30.8,7669
E01002140,18.3,15873
E01002141,15.1,18818
E01002142,14.4,19554
E01002143,20.0,14373
E01002144,13.8,20101
E01002145,15.8,18154
E01002146,3.6,31847
E01002147,8.8,26037
E01002148,10.4,24001
E01002149,4.6,30915
E01002150,10.7,23608
E01002151,34.1,6225
E01002152,6.4,28974
E01002153,5.7,29775
E01002154,12.7,21403
E01002155,6.9,28451
E01002156,6.9,28427
E01002157,10.9,23409
E01002158,6.0,29427
E01002159,13.0,21098
E01002160,13.1,20906
E01002161,14.7,19247
E01002162,17.8,16353
E01002163,11.2,23147
E01002164,8.8,26005
E01002165,14.6,19339
E01002166,13.3,20715
E01002167,20.3,14079
E01002168,26.0,10183
E01002169,18.1,16024
E01002170,16.5,17473
E01002171,11.4,22823
E01002172,12.8,21241
E01002173,13.6,20318
E01002174,10.3,24165
E01002175,11.6,22661
E01002176,12.9,21152
E01002177,13.9,20015
E01002178,10.0,24508
E01002179,21.1,13474
E01002180,26.9,9672
E01002181,12.4,21668
E01002182,14.7,19260
E01002183,19.1,15115
E01002184,18.6,15620
E01002185,30.6,7721
E01002186,18.6,15554
E01002187,12.4,21695
E01002188,3.2,32125
E01002189,5.7,29842
E01002190,6.2,29270
E01002191,6.5,28891
E01002192,6.7,28705
E01002193,11.0,23375
E01002194,5.4,30112
E01002195,5.7,29769
E01002196,5.4,30139
E01002197,12.0,22180
E01002198,13.2,20803
E01002199,10.4,23974
E01002200,15.9,17997
E01002201,9.7,24820
E01002202,18.3,15836
E01002203,13.1,20984
E01002204,14.0,19969
E01002206,14.3,19682
E01002207,11.8,22350
E01002208,5.0,30543
E01002209,9.9,24598
E01002210,8.5,26446
E01002211,27.3,9388
E01002212,19.7,14594
E01002213,18.0,16121
E01002214,18.3,15825
E01002215,26.8,9693
E01002216,12.2,21924
E01002217,32.7,6812
E01002218,16.6,17413
E01002219,20.4,14033
E01002220,14.6,19337
E01002221,16.9,17092
E01002222,13.2,20887
E01002223,14.2,19692
E01002224,23.6,11629
E01002225,7.0,28358
E01002226,13.9,20044
E01002227,38.2,4814
E01002228,13.8,20166
E01002229,20.3,14052
E01002230,10.4,23954
E01002231,22.4,12439
E01002232,19.7,14624
E01002233,24.8,10857
E01002234,18.9,15352
E01002235,28.0,9047
E01002236,18.0,16117
E01002237,20.0,14308
E01002238,11.2,23160
E01002239,9.1,25612
E01002240,20.2,14190
E01002241,21.9,12828
E01002242,8.4,26617
E01032576,7.4,27758
E01002243,30.3,7880
E01002244,19.0,15215
E01002245,17.9,16221
E01002246,14.7,19248
E01002247,20.0,14389
E01002248,21.3,13331
E01002249,20.6,13869
E01002250,21.6,13105
E01002251,24.5,11069
E01002252,10.4,24057
E01002253,2.5,32507
E01002254,3.3,32025
E01002255,8.3,26637
E01002256,6.4,28938
E01002257,4.2,31282
E01002258,14.9,19021
E01002259,7.4,27753
E01002260,12.1,22086
E01002261,13.7,20263
E01002262,16.0,17924
E01002263,7.9,27243
E01002264,32.1,7061
E01002265,11.7,22582
E01002266,15.1,18799
E01002267,26.1,10117
E01002268,11.6,22617
E01002269,8.7,26160
E01002270,6.6,28801
E01002271,7.9,27175
E01002272,9.3,25437
E01002273,10.4,23998
E01002274,7.6,27628
E01002275,8.3,26667
E01002276,29.6,8185
E01002277,33.4,6499
E01002278,33.0,6660
E01002279,25.3,10596
E01002280,50.0,2185
E01002281,33.8,6352
E01002282,40.2,4217
E01002283,30.5,7779
E01002284,29.6,8184
